student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,profile_json,hobbies,devices,skills.tech.python,skills.tech.excel,skills.tech.sql,skills.soft,family.siblings,family.income.father,family.income.mother,addr_city,addr_district,addr_postal
11,Shawn Baker,19,Unknown,,9.98869E+11,Zhangstad,,6/10/2025 0:00,Data Science,110,active,3.7,excellent,183,6/6/2001 5:29,"Apartment 34, North Samantha district, Tashkent, UZ, 100659",INVALID_JSON_DATA,,,,,,,,,,Tashkent,North Samantha,100659
12,,18,Female,71,,Austinside,,1/14/2013 19:16,Other,110,inactive,-2,average,208,5/27/2003 0:00,"Apartment 13, Morrismouth district, Tashkent, UZ, 100315","{hobbies:['forward', 'like']}",,,,,,,,,,Tashkent,Morrismouth,100315
13,,19,Female,90,9.98736E+11,Lesliefurt,,12/24/2014 0:00,Data Science,110,inactive,4.5,excellent,84,11/21/2010 0:00,"Frankchester 9-kv, dom 20, Tashkent",INVALID_JSON_DATA,,,,,,,,,,Tashkent,,
14,Thomas Prince,20,Unknown,,,East Michellestad,aphillips@holland-diaz.org,2/9/2012 0:00,Other,114,inactive,15.5,excellent,210,5/14/2013 0:00,UZ 100394 Tashkent Stevensborough,"{hobbies:['understand', 'become']}",,,,,,,,,,Tashkent,,100394
15,,21,Male,73,,Michellebury,kevin65@maxwell.info,3/17/1971 8:30,Python,110,pending,3.7,good,191,10/29/1984 14:14,"Davidborough 9-kv, dom 29, Tashkent",INVALID_JSON_DATA,,,,,,,,,,Tashkent,,
16,Adrian Allen,20,Female,,,Antoniobury,,8/29/1999 0:00,Other,110,pending,3.7,excellent,53,10/13/1983 0:00,"1965 Jacobs Branch Apt. 418, Timburgh","{'hobbies': ['partner', 'race'], 'skills': {'tech': {'python': 4, 'excel': 4, 'sql': 4}, 'soft': ['onto', 'owner']}, 'family': {'siblings': 3, 'income': {'father': 798, 'mother': 626}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2019}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]}","['partner', 'race']","[{'type': 'laptop', 'brand': 'Dell', 'year': 2019}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]",4,4,4,"['onto', 'owner']",3,798,626,Other,,
17,Stephen Lyons,19,Unknown,76,,New Adam,,10/13/2009 2:20,Data Science,110,active,4.5,good,110,12/4/1984 9:17,UZ 100399 Tashkent Joehaven,"{'hobbies': ['nothing', 'community'], 'skills': {'tech': {'python': 1, 'excel': 1, 'sql': 5}, 'soft': ['wear', 'will']}, 'family': {'siblings': 1, 'income': {'father': 772, 'mother': 498}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]}","['nothing', 'community']","[{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]",1,1,5,"['wear', 'will']",1,772,498,Tashkent,,100399
18,Zachary Lyons,18,Male,68,9.98426E+11,Chenport,,9/25/2003 0:00,Data Science,110,inactive,4.5,average,138,8/27/1997 0:00,"Apartment 22, Port Kevin district, Tashkent, UZ, 100106",INVALID_JSON_DATA,,,,,,,,,,Tashkent,Port Kevin,100106
19,,20,Female,50,,West Danaville,,2/20/1974 0:00,Data Science,110,active,3.05,excellent,66,5/7/1976 0:00,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA,,,,,,,,,,,,
20,Anthony Hardy,20,Male,90,9.98287E+11,Kimport,,5/20/1973 19:05,Data Science,65,pending,4.5,excellent,218,7/23/2021 7:23,"Masontown 10-kv, dom 21, Tashkent","{'hobbies': ['certainly', 'defense'], 'skills': {'tech': {'python': 5, 'excel': 2, 'sql': 4}, 'soft': ['medical', 'quality']}, 'family': {'siblings': 4, 'income': {'father': 1220, 'mother': 1220}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2018}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]}","['certainly', 'defense']","[{'type': 'laptop', 'brand': 'Lenovo', 'year': 2018}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]",5,2,4,"['medical', 'quality']",4,1220,1220,Tashkent,,
21,Hector Beltran,20,Male,52,,North Harry,preid@hotmail.com,2/2/2010 0:00,Data Science,110,active,15.5,good,153,3/31/1983 17:15,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA,,,,,,,,,,,,
22,Tara Nguyen,22,Unknown,73,9.98743E+11,Brittanychester,,6/4/2000 17:46,Other,78,inactive,4.5,excellent,174,11/26/2020 0:00,UZ 100063 Tashkent Lake Shaneland,"{'hobbies': ['create', 'accept'], 'skills': {'tech': {'python': 1, 'excel': 3, 'sql': 1}, 'soft': ['new', 'manager']}, 'family': {'siblings': 3, 'income': {'father': 1140, 'mother': 1117}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2016}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2018}]}","['create', 'accept']","[{'type': 'laptop', 'brand': 'Dell', 'year': 2016}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2018}]",1,3,1,"['new', 'manager']",3,1140,1117,Tashkent,,100063
23,Jessica Robinson,22,Male,90,9.98094E+11,Jonesfurt,,5/10/2010 12:48,Data Science,81,inactive,3.7,good,261,6/9/2005 0:00,"0451 James Cliffs Suite 725, Wagnermouth","{hobbies:['type', 'beautiful']}",,,,,,,,,,Other,,
24,Latoya Williams,18,Male,60,,North Ashleyborough,,8/6/2021 11:33,Data Science,110,pending,3.7,excellent,148,11/12/2021 15:59,"0258 Sean Keys Apt. 380, Kevinfort","{'hobbies': ['step', 'section'], 'skills': {'tech': {'python': 1, 'excel': 5, 'sql': 3}, 'soft': ['beat', 'popular']}, 'family': {'siblings': 0, 'income': {'father': 1376, 'mother': 871}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]}","['step', 'section']","[{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]",1,5,3,"['beat', 'popular']",0,1376,871,Other,,
25,,21,Unknown,90,,Donnaview,,3/8/2025 0:00,Data Science,,pending,15.5,excellent,135,7/16/2000 13:07,"06462 Buck Springs Apt. 169, North Lisa","{'hobbies': ['phone', 'consider'], 'skills': {'tech': {'python': 1, 'excel': 3, 'sql': 2}, 'soft': ['must', 'around']}, 'family': {'siblings': 0, 'income': {'father': 1453, 'mother': 206}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2019}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2020}]}","['phone', 'consider']","[{'type': 'laptop', 'brand': 'Lenovo', 'year': 2019}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2020}]",1,3,2,"['must', 'around']",0,1453,206,Other,,
26,,21,Female,90,,Harrisbury,,7/18/2022 17:43,Data Science,96,pending,15.5,good,299,2/12/2001 0:00,"Apartment 20, Lake Crystal district, Tashkent, UZ, 100119","{'hobbies': ['tough', 'role'], 'skills': {'tech': {'python': 3, 'excel': 1, 'sql': 2}, 'soft': ['south', 'his']}, 'family': {'siblings': 1, 'income': {'father': 623, 'mother': 577}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]}","['tough', 'role']","[{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]",3,1,2,"['south', 'his']",1,623,577,Tashkent,Lake Crystal,100119
27,Emily Cummings,22,Female,59,,East Dariuston,,4/28/2023 18:06,Python,,inactive,1.18,average,245,12/24/2000 0:42,"Apartment 27, South David district, Tashkent, UZ, 100696","{""hobbies"": [""billion"", ""feeling""], ""skills"": {""tech"": {""python"": 3, ""excel"": 1, ""sql"": 3}, ""soft"": [""thought"", ""particularly""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 303, ""mother"": 1245}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2023}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2023}]}","['billion', 'feeling']","[{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Samsung', 'year': 2023}]",3,1,3,"['thought', 'particularly']",4,303,1245,Tashkent,South David,100696
28,Brandy Powell,20,Unknown,87,9.98303E+11,Oconnellburgh,,7/27/2000 0:00,Other,107,inactive,,excellent,285,7/31/2014 11:40,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['energy', 'however'], 'skills': {'tech': {'python': 2, 'excel': 1, 'sql': 3}, 'soft': ['either', 'plan']}, 'family': {'siblings': 4, 'income': {'father': 1105, 'mother': 1106}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Samsung', 'year': 2022}]}","['energy', 'however']","[{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Samsung', 'year': 2022}]",2,1,3,"['either', 'plan']",4,1105,1106,,,
29,,21,Male,88,9.98103E+11,West Rachel,elizabeth49@yahoo.com,9/19/2014 0:00,Data Science,,inactive,,,295,5/20/1992 0:00,"241 Sarah Spring, Bridgetton",INVALID_JSON_DATA,,,,,,,,,,Other,,
30,Jaime Rowe,,Female,69,9.9893E+11,Shepardmouth,eolson@carr.net,1/29/1972 1:01,Data Science,64,pending,3.7,average,294,4/24/2022 8:54,"Port Robertstad 16-kv, dom 50, Tashkent","{'hobbies': ['woman', 'wear'], 'skills': {'tech': {'python': 4, 'excel': 5, 'sql': 3}, 'soft': ['reduce', 'than']}, 'family': {'siblings': 4, 'income': {'father': 1291, 'mother': 913}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2024}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]}","['woman', 'wear']","[{'type': 'laptop', 'brand': 'Lenovo', 'year': 2024}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]",4,5,3,"['reduce', 'than']",4,1291,913,Tashkent,,
31,Brianna Castro,21,Unknown,90,,East Regina,,10/13/2007 9:29,Data Science,110,pending,-2,average,63,9/12/1970 0:00,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA,,,,,,,,,,,,
32,April Johnson,20,Male,90,9.98548E+11,Andersontown,,11/27/2021 1:13,Other,110,active,-2,good,289,4/21/2022 6:18,"Apartment 42, Christineburgh district, Tashkent, UZ, 100686","{'hobbies': ['material', 'relate'], 'skills': {'tech': {'python': 5, 'excel': 3, 'sql': 3}, 'soft': ['against', 'history']}, 'family': {'siblings': 4, 'income': {'father': 1124, 'mother': 1323}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2018}]}","['material', 'relate']","[{'type': 'laptop', 'brand': 'Dell', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2018}]",5,3,3,"['against', 'history']",4,1124,1323,Tashkent,Christineburgh,100686
33,Joyce Franklin,20,Female,60,9.98906E+11,South Brittany,,6/29/2000 21:16,Data Science,66,inactive,15.5,excellent,57,5/31/1982 0:00,"New Antonio 12-kv, dom 41, Tashkent","{""hobbies"": [""run"", ""case""], ""skills"": {""tech"": {""python"": 4, ""excel"": 2, ""sql"": 3}, ""soft"": [""rock"", ""never""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 1009, ""mother"": 1369}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2022}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2020}]}","['run', 'case']","[{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2020}]",4,2,3,"['rock', 'never']",4,1009,1369,Tashkent,,
34,,20,Female,,,Hillmouth,,5/24/1983 0:00,Data Science,67,active,3.7,excellent,172,6/8/1975 0:00,UZ 100883 Tashkent West Michaelport,"{'hobbies': ['decide', 'least'], 'skills': {'tech': {'python': 5, 'excel': 5, 'sql': 2}, 'soft': ['mouth', 'laugh']}, 'family': {'siblings': 4, 'income': {'father': 763, 'mother': 1393}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2019}, {'type': 'phone', 'brand': 'Samsung', 'year': 2020}]}","['decide', 'least']","[{'type': 'laptop', 'brand': 'HP', 'year': 2019}, {'type': 'phone', 'brand': 'Samsung', 'year': 2020}]",5,5,2,"['mouth', 'laugh']",4,763,1393,Tashkent,,100883
35,,22,Female,,9.98304E+11,North Maryfort,,1/25/2008 20:03,Data Science,110,pending,-2,,136,8/30/1998 2:53,UZ 100652 Tashkent Lake Donaldton,INVALID_JSON_DATA,,,,,,,,,,Tashkent,,100652
36,,22,Unknown,87,9.98778E+11,North Gerald,,11/11/2018 0:00,Python,110,inactive,15.5,average,202,12/18/2024 0:00,"North Amy 11-kv, dom 49, Tashkent","{""hobbies"": [""stay"", ""even""], ""skills"": {""tech"": {""python"": 3, ""excel"": 5, ""sql"": 3}, ""soft"": [""generation"", ""group""]}, ""family"": {""siblings"": 1, ""income"": {""father"": 219, ""mother"": 1344}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2017}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2021}]}","['stay', 'even']","[{'type': 'laptop', 'brand': 'Dell', 'year': 2017}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]",3,5,3,"['generation', 'group']",1,219,1344,Tashkent,,
37,Jeremy Fry,18,Female,90,9.98026E+11,New Kent,mccoyandrew@yahoo.com,8/30/2023 22:57,Data Science,110,pending,4.5,average,157,2/4/1971 0:00,"Apartment 49, New Ian district, Tashkent, UZ, 100606","{hobbies:['score', 'bar']}",,,,,,,,,,Tashkent,New Ian,100606
38,Christopher Sosa,20,Male,90,9.98482E+11,New Aliceland,,8/12/2022 0:00,Other,67,active,,excellent,242,2/17/1970 19:58,"Apartment 22, Youngton district, Tashkent, UZ, 100192","{""hobbies"": [""art"", ""learn""], ""skills"": {""tech"": {""python"": 3, ""excel"": 2, ""sql"": 3}, ""soft"": [""write"", ""alone""]}, ""family"": {""siblings"": 2, ""income"": {""father"": 1354, ""mother"": 448}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2024}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2020}]}","['art', 'learn']","[{'type': 'laptop', 'brand': 'Lenovo', 'year': 2024}, {'type': 'phone', 'brand': 'Samsung', 'year': 2020}]",3,2,3,"['write', 'alone']",2,1354,448,Tashkent,Youngton,100192
39,David Duke,20,Female,,9.98267E+11,Harrishaven,,9/26/2004 0:00,Python,110,active,,excellent,159,5/25/2022 1:20,UZ 100766 Tashkent Port William,"{hobbies:['challenge', 'trouble']}",,,,,,,,,,Tashkent,,100766
40,Sara Page,20,Female,71,,West William,edgar27@phillips-martin.info,3/26/2022 5:45,Python,110,inactive,,,140,10/6/1993 0:00,"73317 Timothy Port Suite 163, Dicksonbury","{""hobbies"": [""imagine"", ""middle""], ""skills"": {""tech"": {""python"": 3, ""excel"": 4, ""sql"": 4}, ""soft"": [""begin"", ""movement""]}, ""family"": {""siblings"": 5, ""income"": {""father"": 270, ""mother"": 255}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2020}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2021}]}","['imagine', 'middle']","[{'type': 'laptop', 'brand': 'Lenovo', 'year': 2020}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]",3,4,4,"['begin', 'movement']",5,270,255,Other,,
41,,19,Male,,,West Georgefort,,12/17/1975 0:00,Data Science,,active,15.5,average,225,4/3/2021 2:43,"4613 Robert Cliff Suite 875, South Leslie","{""hobbies"": [""particular"", ""turn""], ""skills"": {""tech"": {""python"": 1, ""excel"": 4, ""sql"": 2}, ""soft"": [""trip"", ""toward""]}, ""family"": {""siblings"": 5, ""income"": {""father"": 1364, ""mother"": 1312}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2017}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2019}]}","['particular', 'turn']","[{'type': 'laptop', 'brand': 'HP', 'year': 2017}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]",1,4,2,"['trip', 'toward']",5,1364,1312,Other,,
42,Mark Smith,,Male,90,,West Morganchester,,12/9/1980 0:00,Data Science,81,inactive,-2,excellent,255,6/6/1980 3:12,"Apartment 17, Port Kristopherberg district, Tashkent, UZ, 100563",INVALID_JSON_DATA,,,,,,,,,,Tashkent,Port Kristopherberg,100563
43,Amanda Myers,19,Female,90,9.98981E+11,North Christopherborough,,6/24/2021 12:05,Data Science,110,pending,-2,average,140,2/9/1990 5:03,UZ 100515 Tashkent North Joseph,"{'hobbies': ['professional', 'necessary'], 'skills': {'tech': {'python': 5, 'excel': 4, 'sql': 2}, 'soft': ['recent', 'tend']}, 'family': {'siblings': 1, 'income': {'father': 1134, 'mother': 1304}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2018}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]}","['professional', 'necessary']","[{'type': 'laptop', 'brand': 'Dell', 'year': 2018}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]",5,4,2,"['recent', 'tend']",1,1134,1304,Tashkent,,100515
44,Eric George,18,Male,93,,Nathanborough,,3/17/2022 10:25,Other,,inactive,,good,205,6/27/2022 20:25,UZ 100297 Tashkent North Candace,"{hobbies:['official', 'begin']}",,,,,,,,,,Tashkent,,100297
45,,20,Unknown,83,,Duncanfort,,12/26/2022 11:07,Data Science,110,active,0,excellent,135,11/21/2022 0:00,"Annahaven 19-kv, dom 3, Tashkent","{'hobbies': ['finish', 'true'], 'skills': {'tech': {'python': 4, 'excel': 2, 'sql': 2}, 'soft': ['enter', 'response']}, 'family': {'siblings': 5, 'income': {'father': 778, 'mother': 355}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2021}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2022}]}","['finish', 'true']","[{'type': 'laptop', 'brand': 'Lenovo', 'year': 2021}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2022}]",4,2,2,"['enter', 'response']",5,778,355,Tashkent,,
46,Brandi Jones,20,Male,,,Ramirezborough,lawrence93@robinson-davis.com,2/3/1989 4:53,Data Science,92,inactive,15.5,,172,5/22/1975 0:00,"BROKEN,ADDRESS,DATA,,,","{""hobbies"": [""raise"", ""let""], ""skills"": {""tech"": {""python"": 1, ""excel"": 5, ""sql"": 2}, ""soft"": [""tell"", ""compare""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 209, ""mother"": 1191}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2016}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2021}]}","['raise', 'let']","[{'type': 'laptop', 'brand': 'Dell', 'year': 2016}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]",1,5,2,"['tell', 'compare']",3,209,1191,,,
47,John Robinson,19,Unknown,51,,Port Tracy,wallacerandy@bradshaw.com,1/18/2021 15:09,Data Science,,active,15.5,average,166,4/25/1994 0:00,UZ 100626 Tashkent East Williamport,"{'hobbies': ['above', 'even'], 'skills': {'tech': {'python': 3, 'excel': 2, 'sql': 5}, 'soft': ['minute', 'view']}, 'family': {'siblings': 4, 'income': {'father': 1127, 'mother': 1111}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2020}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]}","['above', 'even']","[{'type': 'laptop', 'brand': 'HP', 'year': 2020}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]",3,2,5,"['minute', 'view']",4,1127,1111,Tashkent,,100626
48,Suzanne Meyer,20,Male,95,,South Joshua,bartlettchristy@perez-strickland.com,9/21/1972 0:00,Data Science,110,active,,,144,1/20/1976 0:00,"6637 Michelle Unions Apt. 959, Erikfort","{'hobbies': ['do', 'property'], 'skills': {'tech': {'python': 3, 'excel': 1, 'sql': 4}, 'soft': ['parent', 'raise']}, 'family': {'siblings': 1, 'income': {'father': 709, 'mother': 1006}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2015}, {'type': 'phone', 'brand': 'Apple', 'year': 2024}]}","['do', 'property']","[{'type': 'laptop', 'brand': 'Dell', 'year': 2015}, {'type': 'phone', 'brand': 'Apple', 'year': 2024}]",3,1,4,"['parent', 'raise']",1,709,1006,Other,,
49,,18,Female,90,,Lake Michael,,1/2/2023 3:42,Data Science,81,active,-2,average,225,9/19/1992 0:00,"00607 Alvarez Circles Suite 553, North Benjamin","{hobbies:['wonder', 'strong']}",,,,,,,,,,Other,,
